"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.61892e+004,-3.32387e+002,8.44234e-001,1.51520e-001,1.26095e+001,6.32802e+000,1.77509e+000,1,4.20000e+002,-1.58000e+003,0.00000e+000,0.00000e+000
-8.61874e+004,-3.32375e+002,8.45250e-001,1.29491e-001,1.25842e+001,6.30969e+000,1.77600e+000,1,4.24000e+002,-1.57600e+003,0.00000e+000,0.00000e+000
-8.61856e+004,-3.32363e+002,8.46266e-001,1.07462e-001,1.25589e+001,6.29136e+000,1.77691e+000,1,4.28000e+002,-1.57200e+003,0.00000e+000,0.00000e+000
-8.61838e+004,-3.32351e+002,8.47282e-001,8.54330e-002,1.25337e+001,6.27303e+000,1.77782e+000,1,4.32000e+002,-1.56800e+003,0.00000e+000,0.00000e+000
-8.61820e+004,-3.32340e+002,8.48298e-001,6.34040e-002,1.25084e+001,6.25470e+000,1.77873e+000,1,4.36000e+002,-1.56400e+003,0.00000e+000,0.00000e+000
-8.61801e+004,-3.32328e+002,8.49315e-001,4.13751e-002,1.24831e+001,6.23637e+000,1.77964e+000,1,4.40000e+002,-1.56000e+003,0.00000e+000,0.00000e+000
-8.61783e+004,-3.32316e+002,8.50331e-001,1.93462e-002,1.24578e+001,6.21804e+000,1.78055e+000,1,4.44000e+002,-1.55600e+003,0.00000e+000,0.00000e+000
-8.61765e+004,-3.32304e+002,8.51347e-001,-2.68279e-003,1.24326e+001,6.19971e+000,1.78146e+000,1,4.48000e+002,-1.55200e+003,0.00000e+000,0.00000e+000
-8.61747e+004,-3.32292e+002,8.52363e-001,-2.47117e-002,1.24073e+001,6.18138e+000,1.78237e+000,1,4.52000e+002,-1.54800e+003,0.00000e+000,0.00000e+000
-8.61729e+004,-3.32280e+002,8.53379e-001,-4.67407e-002,1.23820e+001,6.16305e+000,1.78328e+000,1,4.56000e+002,-1.54400e+003,0.00000e+000,0.00000e+000
-8.61710e+004,-3.32268e+002,8.54395e-001,-6.87696e-002,1.23568e+001,6.14472e+000,1.78419e+000,1,4.60000e+002,-1.54000e+003,0.00000e+000,0.00000e+000
-8.61692e+004,-3.32256e+002,8.55411e-001,-9.07986e-002,1.23315e+001,6.12639e+000,1.78510e+000,1,4.64000e+002,-1.53600e+003,0.00000e+000,0.00000e+000
-8.61674e+004,-3.32244e+002,8.56427e-001,-1.12828e-001,1.23062e+001,6.10806e+000,1.78601e+000,1,4.68000e+002,-1.53200e+003,0.00000e+000,0.00000e+000
